Type,Virus Family,SHA-256,Benign Tasks,Duration,No. of Commands,Read Traffic,Write Traffic,Disk Size,Victim Data,Source,OS,Recording_Index
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Install_package, Disk indexing",504,1629842,27,29,512GB,Set 4,In-house,Windows,10045
Benign,,,"Anaconda_package, Compress_rar_using_winrar, Compress_using_7z_sw, Disk indexing",504,674038,13,19,512GB,Set 4,In-house,Windows,10046
Benign,,,"Compress_rar_using_winrar, Compress_using_7z_sw, User_files_wipe, Disk indexing",502,359575,12,39,512GB,Set 4,In-house,Windows,10047
Benign,,,"Compress_using_7z_sw, Install_package, User_files_wipe, Disk indexing",503,561454,8,32,512GB,Set 4,In-house,Windows,10048
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Get_and_install_apps, Disk indexing",502,2209008,29,32,512GB,Set 4,In-house,Windows,10049
Benign,,,"Compress_rar_using_winrar, Compress_using_7z_sw, Get_and_install_apps, Disk indexing",503,436732,24,22,512GB,Set 4,In-house,Windows,10050
Benign,,,"Anaconda_package, Compress_using_7z_sw, User_files_wipe, Disk indexing",503,1311300,27,34,512GB,Set 4,In-house,Windows,10051
Benign,,,"Anaconda_package, Compress_using_7z_sw, Install_package, Disk indexing",503,1429782,22,24,512GB,Set 4,In-house,Windows,10052
Benign,,,"Anaconda_package, Cmake_from_source, Compress_using_7z_sw, Disk indexing",503,1428880,21,23,512GB,Set 4,In-house,Windows,10053
Benign,,,"Compress_using_7z_sw, Do_git_repository, User_files_wipe, Disk indexing",503,820042,16,38,512GB,Set 4,In-house,Windows,10054
Benign,,,"Anaconda_package, Compress_using_7z_sw, Get_and_install_apps, Disk indexing",505,580887,28,24,512GB,Set 4,In-house,Windows,10055
Benign,,,"Compress_using_7z_sw, Do_git_repository, Get_and_install_apps, Disk indexing",503,586550,29,24,512GB,Set 4,In-house,Windows,10056
Benign,,,"Compress_using_7z_sw, Do_git_repository, Install_package, Disk indexing",503,810542,35,30,512GB,Set 4,In-house,Windows,10057
Benign,,,"Compress_using_7z_sw, Install_package, User_files_wipe, Disk indexing",503,1792298,27,42,512GB,Set 4,In-house,Windows,10058
Benign,,,"Compress_using_7z_sw, Do_git_repository, Get_and_install_apps, Disk indexing",501,826068,47,35,512GB,Set 4,In-house,Windows,10059
Benign,,,"Compress_using_7z_sw, Get_and_install_apps, User_files_wipe, Disk indexing",504,691440,36,36,512GB,Set 4,In-house,Windows,10060
Benign,,,"Compress_using_7z_sw, Get_and_install_apps, User_files_wipe, Disk indexing",503,719847,37,38,512GB,Set 4,In-house,Windows,10061
Benign,,,"Compress_using_7z_sw, Get_and_install_apps, Install_package, Disk indexing",504,2039561,32,34,512GB,Set 4,In-house,Windows,10062
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Do_git_repository, Disk indexing",502,707540,35,28,512GB,Set 4,In-house,Windows,10063
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Encrypt_using_aescrypt, Disk indexing",502,2143711,27,31,512GB,Set 4,In-house,Windows,10064
Benign,,,"Anaconda_package, Compress_using_7z_sw, Do_git_repository, Disk indexing",503,900474,30,31,512GB,Set 4,In-house,Windows,10065
Benign,,,"Compress_using_7z_sw, Install_package, User_files_wipe, Disk indexing",503,1157874,19,25,512GB,Set 4,In-house,Windows,10066
Benign,,,"Compress_rar_using_winrar, Compress_using_7z_sw, User_files_wipe, Disk indexing",502,714120,12,39,512GB,Set 4,In-house,Windows,10067
Benign,,,"Compress_using_7z_sw, Do_git_repository, User_files_wipe, Disk indexing",502,563345,14,74,512GB,Set 4,In-house,Windows,10068
Benign,,,"Anaconda_package, Compress_using_7z_sw, User_files_wipe, Disk indexing",503,833661,17,42,512GB,Set 4,In-house,Windows,10069
Benign,,,"Anaconda_package, Compress_using_7z_sw, Get_and_install_apps, Disk indexing",503,2157355,33,36,512GB,Set 4,In-house,Windows,10070
Benign,,,"Cmake_from_source, Compress_using_7z_sw, User_files_wipe, Disk indexing",503,1207736,17,32,512GB,Set 4,In-house,Windows,10071
Benign,,,"Compress_using_7z_sw, Encrypt_using_aescrypt, Get_and_install_apps, Disk indexing",503,1154677,38,31,512GB,Set 4,In-house,Windows,10072
Benign,,,"Compress_using_7z_sw, Get_and_install_apps, Install_package, Disk indexing",507,740694,38,30,512GB,Set 4,In-house,Windows,10073
Benign,,,"Compress_using_7z_sw, Do_git_repository, Install_package, Disk indexing",502,2474598,31,36,512GB,Set 4,In-house,Windows,10074
Benign,,,"Cmake_from_source, Compress_using_7z_sw, User_files_wipe, Disk indexing",502,492073,22,23,512GB,Set 4,In-house,Windows,10075
Benign,,,"Compress_using_7z_sw, Encrypt_using_aescrypt, Get_and_install_apps, Disk indexing",502,1062263,39,31,512GB,Set 4,In-house,Windows,10076
Benign,,,"Anaconda_package, Compress_using_7z_sw, Encrypt_using_aescrypt, Disk indexing",503,2013811,31,36,512GB,Set 4,In-house,Windows,10077
Benign,,,"Cmake_from_source, Compress_using_7z_sw, User_files_wipe, Disk indexing",503,1633907,24,32,512GB,Set 4,In-house,Windows,10078
Benign,,,"Anaconda_package, Compress_using_7z_sw, User_files_wipe, Disk indexing",502,2007931,31,40,512GB,Set 4,In-house,Windows,10079
Benign,,,"Anaconda_package, Compress_using_7z_sw, Get_and_install_apps, Disk indexing",505,2061856,32,34,512GB,Set 4,In-house,Windows,10080
Benign,,,"Compress_using_7z_sw, Do_git_repository, User_files_wipe, Disk indexing",502,1234346,37,49,512GB,Set 4,In-house,Windows,10081
Benign,,,"Anaconda_package, Compress_using_7z_sw, Install_package, Disk indexing",504,712510,35,30,512GB,Set 4,In-house,Windows,10082
Benign,,,"Anaconda_package, Compress_using_7z_sw, Install_package, Disk indexing",503,564430,26,23,512GB,Set 4,In-house,Windows,10083
Benign,,,"Compress_using_7z_sw, Do_git_repository, Install_package, Disk indexing",503,812241,35,30,512GB,Set 4,In-house,Windows,10084
Benign,,,"Anaconda_package, Cmake_from_source, Compress_using_7z_sw, Disk indexing",503,1165865,38,34,512GB,Set 4,In-house,Windows,10085
Benign,,,"Anaconda_package, Compress_using_7z_sw, Encrypt_using_aescrypt, Disk indexing",503,2369831,30,38,512GB,Set 4,In-house,Windows,10086
Benign,,,"Compress_rar_using_winrar, Compress_using_7z_sw, Install_package, Disk indexing",502,880401,44,37,512GB,Set 4,In-house,Windows,10087
Benign,,,"Compress_using_7z_sw, Get_and_install_apps, Install_package, Disk indexing",501,974679,31,28,512GB,Set 4,In-house,Windows,10088
Benign,,,"Cmake_from_source, Compress_rar_using_winrar, Do_git_repository, Disk indexing",503,248173,9,8,512GB,Set 4,In-house,Windows,10089
Benign,,,"Anaconda_package, Compress_using_7z_sw, Do_git_repository, Disk indexing",501,688688,36,29,512GB,Set 4,In-house,Windows,10090
Benign,,,"Compress_using_7z_sw, Do_git_repository, Install_package, Disk indexing",501,1076900,40,34,512GB,Set 4,In-house,Windows,10091
Benign,,,"Anaconda_package, Compress_using_7z_sw, Do_git_repository, Disk indexing",506,852614,40,32,512GB,Set 4,In-house,Windows,10092
Benign,,,"Compress_rar_using_winrar, Compress_using_7z_sw, Install_package, Disk indexing",506,656431,31,28,512GB,Set 4,In-house,Windows,10093
Benign,,,"Compress_using_7z_sw, Get_and_install_apps, Install_package, Disk indexing",503,1069092,34,33,512GB,Set 4,In-house,Windows,10094
Benign,,,"Compress_using_7z_sw, Install_package, User_files_wipe, Disk indexing",505,516033,29,32,512GB,Set 4,In-house,Windows,10095
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Get_and_install_apps, Disk indexing",502,1579066,42,41,512GB,Set 4,In-house,Windows,10096
Benign,,,"Compress_using_7z_sw, Encrypt_using_aescrypt, Install_package, Disk indexing",503,650197,24,21,512GB,Set 4,In-house,Windows,10097
Benign,,,"Compress_rar_using_winrar, Compress_using_7z_sw, Do_git_repository, Disk indexing",503,720656,44,37,512GB,Set 4,In-house,Windows,10098
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Do_git_repository, Disk indexing",502,2134222,52,50,512GB,Set 4,In-house,Windows,10099
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Encrypt_using_aescrypt, Disk indexing",502,728100,26,23,512GB,Set 4,In-house,Windows,10100
Benign,,,"Anaconda_package, Compress_using_7z_sw, Do_git_repository, Disk indexing",502,1102883,35,33,512GB,Set 4,In-house,Windows,10101
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Install_package, Disk indexing",502,1685753,43,44,512GB,Set 4,In-house,Windows,10102
Benign,,,"Compress_using_7z_sw, Install_package, User_files_wipe, Disk indexing",502,1169408,37,51,512GB,Set 4,In-house,Windows,10103
Benign,,,"Compress_rar_using_winrar, Compress_using_7z_sw, User_files_wipe, Disk indexing",503,878152,39,43,512GB,Set 4,In-house,Windows,10104
Benign,,,"Anaconda_package, Compress_using_7z_sw, Encrypt_using_aescrypt, Disk indexing",502,1212930,41,32,512GB,Set 4,In-house,Windows,10105
Benign,,,"Anaconda_package, Compress_using_7z_sw, User_files_wipe, Disk indexing",503,743492,31,40,512GB,Set 4,In-house,Windows,10106
Benign,,,"Anaconda_package, Cmake_from_source, Do_git_repository, Disk indexing",502,918651,12,14,512GB,Set 4,In-house,Windows,10107
Benign,,,"Compress_rar_using_winrar, Compress_using_7z_sw, Get_and_install_apps, Disk indexing",502,1067582,36,34,512GB,Set 4,In-house,Windows,10108
Benign,,,"Anaconda_package, Compress_using_7z_sw, Get_and_install_apps, Disk indexing",503,1383325,36,35,512GB,Set 4,In-house,Windows,10109
Benign,,,"Cmake_from_source, Get_and_install_apps, Install_package, Disk indexing",503,865290,12,13,512GB,Set 4,In-house,Windows,10110
Benign,,,"Compress_using_7z_sw, Install_package, User_files_wipe, Disk indexing",503,2484889,30,45,512GB,Set 4,In-house,Windows,10111
Benign,,,"Cmake_from_source, Compress_using_7z_sw, User_files_wipe, Disk indexing",503,782186,33,47,512GB,Set 4,In-house,Windows,10112
Benign,,,"Cmake_from_source, Compress_rar_using_winrar, Compress_using_7z_sw, Disk indexing",502,458011,23,20,512GB,Set 4,In-house,Windows,10113
Benign,,,"Cmake_from_source, Do_git_repository, Get_and_install_apps, Disk indexing",504,1284163,16,19,512GB,Set 4,In-house,Windows,10114
Benign,,,"Compress_using_7z_sw, Get_and_install_apps, User_files_wipe, Disk indexing",501,750307,35,61,512GB,Set 4,In-house,Windows,10115
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Install_package, Disk indexing",503,1654530,46,42,512GB,Set 4,In-house,Windows,10116
Benign,,,"Cmake_from_source, Do_git_repository, Get_and_install_apps, Disk indexing",503,987136,13,15,512GB,Set 4,In-house,Windows,10117
Benign,,,"Anaconda_package, Cmake_from_source, Do_git_repository, Disk indexing",537,1352594,17,19,512GB,Set 4,In-house,Windows,10118
Benign,,,"Cmake_from_source, Compress_using_7z_sw, User_files_wipe, Disk indexing",506,713901,19,21,512GB,Set 4,In-house,Windows,10119
Benign,,,"Cmake_from_source, Do_git_repository, User_files_wipe, Disk indexing",503,855754,11,24,512GB,Set 4,In-house,Windows,10120
Benign,,,"Cmake_from_source, Do_git_repository, Install_package, Disk indexing",502,1385467,17,20,512GB,Set 4,In-house,Windows,10121
Benign,,,"Cmake_from_source, Do_git_repository, Install_package, Disk indexing",502,1387413,17,20,512GB,Set 4,In-house,Windows,10122
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Get_and_install_apps, Disk indexing",503,1152616,20,21,512GB,Set 4,In-house,Windows,10123
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Get_and_install_apps, Disk indexing",502,670101,29,27,512GB,Set 4,In-house,Windows,10124
Benign,,,"Cmake_from_source, Encrypt_using_aescrypt, Install_package, Disk indexing",506,701584,8,7,512GB,Set 4,In-house,Windows,10125
Benign,,,"Cmake_from_source, Do_git_repository, Install_package, Disk indexing",505,942384,8,10,512GB,Set 4,In-house,Windows,10126
Benign,,,"Cmake_from_source, Do_git_repository, Encrypt_using_aescrypt, Disk indexing",503,1329234,16,18,512GB,Set 4,In-house,Windows,10127
Benign,,,"Cmake_from_source, Do_git_repository, User_files_wipe, Disk indexing",503,1377196,17,22,512GB,Set 4,In-house,Windows,10128
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Get_and_install_apps, Disk indexing",503,1500154,22,24,512GB,Set 4,In-house,Windows,10129
Benign,,,"Cmake_from_source, Compress_rar_using_winrar, Compress_using_7z_sw, Disk indexing",505,949716,23,26,512GB,Set 4,In-house,Windows,10130
Benign,,,"Cmake_from_source, Compress_rar_using_winrar, Install_package, Disk indexing",504,803397,19,19,512GB,Set 4,In-house,Windows,10131
Benign,,,"Cmake_from_source, Install_package, User_files_wipe, Disk indexing",506,666324,3,9,512GB,Set 4,In-house,Windows,10132
Benign,,,"Cmake_from_source, Do_git_repository, User_files_wipe, Disk indexing",504,166931,2,6,512GB,Set 4,In-house,Windows,10133
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Do_git_repository, Disk indexing",503,2323365,29,33,512GB,Set 4,In-house,Windows,10134
Benign,,,"Anaconda_package, Cmake_from_source, Do_git_repository, Disk indexing",502,2234481,23,28,512GB,Set 4,In-house,Windows,10135
Benign,,,"Anaconda_package, Cmake_from_source, Compress_rar_using_winrar, Disk indexing",502,1033206,23,24,512GB,Set 4,In-house,Windows,10136
Benign,,,"Anaconda_package, Cmake_from_source, Get_and_install_apps, Disk indexing",503,1788991,19,23,512GB,Set 4,In-house,Windows,10137
Benign,,,"Cmake_from_source, Compress_using_7z_sw, User_files_wipe, Disk indexing",504,1623879,21,32,512GB,Set 4,In-house,Windows,10138
Benign,,,"Anaconda_package, Cmake_from_source, User_files_wipe, Disk indexing",502,901493,12,23,512GB,Set 4,In-house,Windows,10139
Benign,,,"Cmake_from_source, Compress_rar_using_winrar, Do_git_repository, Disk indexing",503,283698,13,11,512GB,Set 4,In-house,Windows,10140
Benign,,,"Anaconda_package, Cmake_from_source, Get_and_install_apps, Disk indexing",503,1802043,19,23,512GB,Set 4,In-house,Windows,10141
Benign,,,"Cmake_from_source, Compress_rar_using_winrar, Get_and_install_apps, Disk indexing",503,190300,8,8,512GB,Set 4,In-house,Windows,10142
Benign,,,"Cmake_from_source, Compress_rar_using_winrar, Install_package, Disk indexing",507,209018,8,8,512GB,Set 4,In-house,Windows,10143
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Install_package, Disk indexing",505,1539121,31,32,512GB,Set 4,In-house,Windows,10144
Benign,,,"Cmake_from_source, Compress_rar_using_winrar, Do_git_repository, Disk indexing",503,262471,9,8,512GB,Set 4,In-house,Windows,10145
Benign,,,"Cmake_from_source, Compress_rar_using_winrar, User_files_wipe, Disk indexing",502,268287,10,11,512GB,Set 4,In-house,Windows,10146
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Do_git_repository, Disk indexing",503,1939275,24,27,512GB,Set 4,In-house,Windows,10147
Benign,,,"Cmake_from_source, Compress_rar_using_winrar, Compress_using_7z_sw, Disk indexing",506,285683,11,10,512GB,Set 4,In-house,Windows,10148
Benign,,,"Anaconda_package, Cmake_from_source, Install_package, Disk indexing",503,1853305,19,22,512GB,Set 4,In-house,Windows,10149
Benign,,,"Anaconda_package, Cmake_from_source, User_files_wipe, Disk indexing",504,1056321,13,18,512GB,Set 4,In-house,Windows,10150
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Install_package, Disk indexing",503,1504092,24,25,512GB,Set 4,In-house,Windows,10151
Benign,,,"Cmake_from_source, Do_git_repository, Get_and_install_apps, Disk indexing",502,2234555,23,27,512GB,Set 4,In-house,Windows,10152
Benign,,,"Cmake_from_source, Do_git_repository, Encrypt_using_aescrypt, Disk indexing",503,882526,12,14,512GB,Set 4,In-house,Windows,10153
Benign,,,"Cmake_from_source, Get_and_install_apps, User_files_wipe, Disk indexing",518,2057814,21,31,512GB,Set 4,In-house,Windows,10154
Benign,,,"Anaconda_package, Cmake_from_source, Compress_using_7z_sw, Disk indexing",503,1780923,33,34,512GB,Set 4,In-house,Windows,10155
Benign,,,"Anaconda_package, Cmake_from_source, Compress_using_7z_sw, Disk indexing",503,2247739,30,32,512GB,Set 4,In-house,Windows,10156
